symbol,fiscal_year,company_name,announcement_id,predictive_value_score,confirmatory_value_score,faithful_representation_score,neutrality_score,completeness_score,understandability_score,comparability_score,timeliness_score,conservatism_score
آباد,1392,توریستی ورفاهی آبادگران ایران,2a9d70ddceb550283148763d,0.7816443473363932,,,,0.6666666666666666,1.0,,0.97669256381798,
آباد,1393,توریستی ورفاهی آبادگران ایران,604422a4ad273565c2d63fe5,0.707548045216801,9.583444851202715e-10,,,0.625,1.0,,0.9458128078817734,
آباد,1394,توریستی ورفاهی آبادگران ایران,03af73aaebfef632e564105d,,0.34656728733905634,1.0,1.0,0.8181818181818182,0.878252120166735,,0.922920892494929,0.1644427147373745
آباد,1395,توریستی ورفاهی آبادگران ایران,e5ca499ee05d406e8901d489,,,,,0.5555555555555556,1.0,0.570040839024973,0.9692603266090298,
آباد,1396,توریستی ورفاهی آبادگران ایران,2fd77f2062a96d2b66608e07,,,1.0,1.0,1.0,0.8329925017041594,0.5718468663493208,0.9329710144927537,1.0
آباد,1397,توریستی ورفاهی آبادگران ایران,f9a52c095e10bb6681d9eab7,0.9335512947671128,,,,1.0,1.0,0.9999999146141678,0.9593432369038312,
آباد,1398,توریستی ورفاهی آبادگران ایران,7860b9645d8eaf8dda8035af,0.9999998020888365,1.7038560924505534e-15,0.9844148599739262,0.9844148599739262,0.7857142857142857,0.30981120396162537,0.9975278818855307,0.908817635270541,0.8466585051528378
آباد,1399,توریستی ورفاهی آبادگران ایران,00f388426bcbb665c901ba16,0.9999995502352539,2.7607902206280225e-10,0.9999999941288815,0.9999999941288815,0.75,0.39984882842025377,0.9898829811430456,0.986013986013986,0.8008913153891329
آباد,1400,توریستی ورفاهی آبادگران ایران,ad496a5398161a5f003e4641,0.9999991716973801,0.4435467089712011,0.8649491657913332,0.8649491657913332,0.7272727272727273,0.0,1.0,0.9547079856972587,0.597882140101419
آباد,1401,توریستی ورفاهی آبادگران ایران,ee4d20b9f76287f62b34f0fc,,5.332491227650462e-10,0.7821774095345428,0.7821774095345428,0.9259259259259259,0.7657384987893442,0.999953732693018,0.9212765957446809,0.7873671014137712
آبادا,1393,تولید نیروی برق آبادان,cbdf918caaca0cf95638c908,0.8841808956016625,,,,0.625,1.0,,0.0,
آبادا,1394,تولید نیروی برق آبادان,c2ca671f83e13fd964c1caa4,0.8997547143243034,,,,0.7272727272727273,1.0,,0.0,
آبادا,1395,تولید نیروی برق آبادان,e3b38079afb784ea3f39a854,1.0,,,,0.8888888888888888,1.0,,0.0,
آبادا,1396,تولید نیروی برق آبادان,46a752b20f0b14d00cb2b9bc,1.0,,,,0.8888888888888888,1.0,,0.2617753623188406,
آبادا,1397,تولید نیروی برق آبادان,57a010019e8aebf251743215,0.9999999754448013,,,,1.0,1.0,,0.6520719311962471,
آبادا,1398,تولید نیروی برق آبادان,e8c46264dbfa7d85e33ca7c5,0.999999802097969,,0.9647655169021053,0.9647655169021053,0.6428571428571429,0.5286908077994453,,0.9118236472945892,0.8180649147473645
آبادا,1399,تولید نیروی برق آبادان,1216caa64f48a7d2d7e1831d,0.3029257608180327,7.456591162626614e-11,0.9999999713828146,0.9999999713828146,0.75,0.504157218442935,,0.9428904428904429,0.8008913005954161
آبادا,1400,تولید نیروی برق آبادان,61c7455054bc3e365138adf1,0.9999995303139267,2.3067580380836437e-16,0.8196910328911097,0.8196910328911097,0.8181818181818182,0.060003598416694746,,0.9427890345649583,0.5686958662863362
آبادا,1401,تولید نیروی برق آبادان,06761ab52d39fb8e56378e7d,,9.377169705863305e-10,0.9882135825858849,0.9882135825858849,0.8518518518518519,0.7796610169491517,0.5263848898584925,0.8680851063829788,0.6389162741168487
آلومینا,1396,آلومینای ایران,610365f32bddc83b100a7de4,,,,,0.8888888888888888,1.0,,0.0,
آلومینا,1397,آلومینای ایران,ef7d2a4317d8b383579862fa,,,,,,,,0.0,
آلومینا,1398,آلومینای ایران,fa6ea0a9c2a166a68679c278,0.9999996029664769,,0.9946382117458631,0.9946382117458631,0.8571428571428571,0.4448865897333848,,0.0,0.8348725990507407
آلومینا,1399,آلومینای ایران,798d282e8568775c371ce77b,0.3643920139838176,,0.7854098360264434,0.7854098360264434,0.8333333333333334,0.43586005830903374,,0.005827505827505797,0.6613249436295173
آلومینا,1400,آلومینای ایران,623bd717896dee7cdacf508b,0.9999998625448011,2.3067580380836437e-16,0.697803546909533,0.697803546909533,0.8181818181818182,0.060003598416694746,,0.433849821215733,0.4900925012661054
آلومینا,1401,آلومینای ایران,d60e46d087835d7a186db6fc,,3.5361307363702784e-09,0.9376268034508535,0.9376268034508535,0.8888888888888888,0.7507846829880711,,0.6340425531914894,0.6868633749674695
آپ,1392,آسان پرداخت پرشین,afbf934144a76e41792c4965,,,1.0,1.0,0.7777777777777778,0.7713529856386949,,0.0,0.6926854157910984
آپ,1393,آسان پرداخت پرشین,bc581a78364232f2c5ef564f,,,1.0,1.0,0.75,0.878252120166735,,0.4768472906403941,0.3433003559912075
آپ,1394,آسان پرداخت پرشین,f76d931eab82640619b1a9c5,,,1.0,1.0,0.8181818181818182,0.878252120166735,,0.8286004056795132,0.1644427147373745
آپ,1395,آسان پرداخت پرشین,bbef1fe8a159d5c2f7ec6c19,,,1.0,1.0,1.0,0.896518836432998,,0.9654178674351584,1.0
آپ,1396,آسان پرداخت پرشین,17c0851e5ea33bc4660bc730,,,1.0,1.0,1.0,0.8329925017041594,,0.9746376811594203,1.0
آپ,1397,آسان پرداخت پرشین,7e5a337d180509877569b772,0.99999999020753,,,,1.0,1.0,,0.9437060203283816,
آپ,1398,آسان پرداخت پرشین,608ce7fc20be0d6ad8b6952e,0.9999999689206723,,0.9828405519146767,0.9828405519146767,0.7857142857142857,0.4975755699989719,,0.8527054108216433,0.8282347197767642
آپ,1399,آسان پرداخت پرشین,3eb9a1523da7cb6192bbdcb6,0.9999997944636491,,0.8892549036071511,0.8892549036071511,0.75,0.504157218442935,,0.9044289044289044,0.8729186045934546
آپ,1400,آسان پرداخت پرشین,0ec807b375ce4916b3dddc0c,0.9999999423250855,,0.995694112505033,0.995694112505033,0.7272727272727273,0.17380352644837097,,0.902264600715137,0.687751206892019
آپ,1401,آسان پرداخت پرشین,40e75df38be7484d6c40b963,,,0.8255473679267529,0.8255473679267529,0.8888888888888888,0.794099183929693,,0.8340425531914893,0.7593268349037271
اتکام,1392,بیمه اتکایی امین,c2510e3a8dacf847e8802cc4,1.0,,0.6941235905914995,0.6941235905914995,0.1111111111111111,0.0,,0.2230854605993341,0.5237029448323183
اتکام,1393,بیمه اتکایی امین,64330ec5005374c806efd9b8,0.8990433543360236,,0.6787042852889784,0.6787042852889784,0.0,0.0,,0.6758620689655173,0.1300918076615776
اتکام,1394,بیمه اتکایی امین,f2f068036bd89d4527be7c50,1.0,,0.876185791990021,0.876185791990021,0.2727272727272727,0.36998706338938914,,0.9107505070993915,0.2678965782591346
اتکام,1395,بیمه اتکایی امین,7243c2cd94e47e4c29a60673,0.5847017362104172,,0.0,0.0,0.3333333333333333,0.0,,0.9173871277617676,0.0
اتکام,1396,بیمه اتکایی امین,51e5d4b1defc0c622ee89624,0.9325210092122774,,0.0,0.0,0.3333333333333333,0.0,,0.9284420289855072,0.0
اتکام,1397,بیمه اتکایی امین,7a2f21ce9c23482123d2b0ca,0.9999999068435477,,0.0,0.0,0.5,0.0,,0.9429241594996091,0.0
اتکام,1398,بیمه اتکایی امین,82cc82046d6061b06fff09a1,0.9999997666658021,,,,0.21428571428571427,0.20392904266236675,,0.9128256513026052,
اتکام,1399,بیمه اتکایی امین,73820f334a41ab679e2a9535,0.99999964207948,,,,0.08333333333333333,0.12352309344790542,,0.9125874125874126,
اتکام,1400,بیمه اتکایی امین,6eb6f95c81182cb5997190cc,0.9999998554744471,0.42132670978662906,0.6491408398402847,0.6491408398402847,0.2727272727272727,0.5424776734600514,,0.9058402860548271,0.45871066993343823
اتکام,1401,بیمه اتکایی امین,be2692d0a585b262331a677a,,0.798837741278786,0.539311154699121,0.539311154699121,0.7037037037037037,0.8859784283513115,,0.8574468085106383,0.34868441359443775
اردستان,1398,سیمان اردستان,d8cc9bb9f84ed2958af821ae,0.5462297294759592,,0.9465108485228131,0.9465108485228131,0.7857142857142857,0.4975755699989719,,0.4288577154308617,0.8077940401313743
اردستان,1399,سیمان اردستان,b8a40b1800894684ec924066,,,0.7572052768495902,0.7572052768495902,0.75,0.504157218442935,,0.7657342657342657,0.9588017944924366
اردستان,1400,سیمان اردستان,06c48a9d899d315f29d54a23,,,,,,,,0.936829558998808,
اردستان,1401,سیمان اردستان,acd48114660239109f57f282,,,0.6865289451852998,0.6865289451852998,0.8518518518518519,0.7796610169491517,,0.8936170212765957,0.44386610694357725
اسیاتک,1394,انتقال داده های آسیاتک,3c6963c3428335a9d7ffd3af,,,1.0,1.0,0.8181818181818182,0.878252120166735,,0.4401622718052738,0.1644427147373745
اسیاتک,1395,انتقال داده های آسیاتک,db2cf4fea904aea6c9862dc3,,,1.0,1.0,1.0,0.896518836432998,,0.8155619596541787,1.0
اسیاتک,1396,انتقال داده های آسیاتک,69febc44f7a1a262e5341be4,,,1.0,1.0,1.0,0.8329925017041594,,0.8523550724637681,1.0
اسیاتک,1397,انتقال داده های آسیاتک,4d015d9b023d37704fbf8ae6,0.9999999562651596,,,,1.0,1.0,,0.3017982799061767,
اسیاتک,1398,انتقال داده های آسیاتک,3f22727db455d69265a630d7,1.0,,0.9171925994665691,0.9171925994665691,0.6428571428571429,0.5286908077994453,,0.44889779559118237,0.7912983112712082
اسیاتک,1399,انتقال داده های آسیاتک,adc72ed284acd59c37fe9736,0.9999996835800312,,0.8145299242821089,0.8145299242821089,0.5833333333333334,0.544489795918368,,0.7074592074592074,0.9215186631256356
اسیاتک,1400,انتقال داده های آسیاتک,ac61967992fbc4802189d3e1,0.9999996710810645,,0.8901263536198067,0.8901263536198067,0.7272727272727273,0.17380352644837097,,0.8915375446960667,0.7558302309132165
اسیاتک,1401,انتقال داده های آسیاتک,2483c406c0cfac5505e4f3a1,,,0.9074744658699269,0.9074744658699269,0.8888888888888888,0.794099183929693,,0.8340425531914893,0.706357965532303
افق,1396,فروشگاههای زنجیره ای افق کوروش,a6a6875af6f538e792e24307,,,1.0,1.0,1.0,0.8329925017041594,,0.7690217391304348,1.0
افق,1397,فروشگاههای زنجیره ای افق کوروش,34c62d7151b2612538121496,0.9999999376124369,,,,1.0,1.0,,0.9648162627052385,
افق,1398,فروشگاههای زنجیره ای افق کوروش,85560ed5e7b4aab10959bcf7,0.9999995733400544,0.46011185369462765,0.8411818116729572,0.8411818116729572,0.7857142857142857,0.4975755699989719,,0.8637274549098196,0.9272476809953379
افق,1399,فروشگاههای زنجیره ای افق کوروش,ffd0780cb49559fc3f16e002,0.9999998799755032,4.678211298868099e-10,0.9024714111395424,0.9024714111395424,0.75,0.504157218442935,0.8928277793864025,0.9102564102564102,0.7374601189584893
افق,1400,فروشگاههای زنجیره ای افق کوروش,0d82a94d62770d64a8a3cbfe,0.999999714646037,0.8160151904826012,0.8172886437671605,0.8172886437671605,0.7272727272727273,0.17380352644837097,0.8512511735975408,0.9129916567342073,0.8028021497175029
افق,1401,فروشگاههای زنجیره ای افق کوروش,3104ef8000a296c6243b7f59,,8.706465321623197e-10,0.5706340897313624,0.5706340897313624,0.8518518518518519,0.7796610169491517,0.7485505422987042,0.8574468085106383,0.9241376053662509
البرز,1393,بیمه البرز,4fcd4a10869e90af22bc82b0,0.9901173482627729,,0.9432331185528041,0.9432331185528041,0.0,0.0,,0.9596059113300492,0.3056304343819429
البرز,1394,بیمه البرز,91d73b823002f54245c8bd79,0.9544912711661581,,0.9398033539662883,0.9398033539662883,0.2727272727272727,0.0,,0.9137931034482758,0.11414496859553123
البرز,1395,بیمه البرز,60596ddc06db467258743de2,0.9868069992851383,,0.09081852998385054,0.09081852998385054,0.3333333333333333,0.0,,0.9327569644572526,0.20180509773934657
البرز,1396,بیمه البرز,09a30248b527d58d9afe8a12,0.8826104165086891,,0.02723230508714436,0.02723230508714436,0.3333333333333333,0.0,,0.9501811594202898,0.42074223923370513
البرز,1397,بیمه البرز,96a6757d315d25acd82c093d,0.8483048727286456,,,,0.3,0.0,,0.944487881157154,
البرز,1398,بیمه البرز,6353e208f394757e8ade4936,0.9999968811567533,,,,0.21428571428571427,0.20392904266236675,,0.9038076152304609,
البرز,1399,بیمه البرز,ee1b25da72f2de7073e2b364,0.9999998454358935,,,,0.08333333333333333,0.12352309344790542,,0.9265734265734266,
